Title: test

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
10000.00 1003.15 0.843617 49.4857 0.0928124 6.94801 0.0732955 0.30125 0.7868 15.1464 0.100865 1.01613 6.47544 0.72119 0 18.8521
10000.00 1002.15 0.831479 49.0422 0.0895412 6.8825 0.0741476 0.305647 0.79418 15.3679 0.100876 1.0089 6.50469 0.702176 0 19.1273
10000.00 1001.15 0.820237 48.6211 0.0864732 6.81913 0.0749665 0.309836 0.801168 15.5789 0.100898 1.00171 6.53188 0.684475 0 19.3894
10000.00 1000.15 0.809775 48.2201 0.0835862 6.7577 0.0757556 0.313839 0.807805 15.7806 0.100931 0.99456 6.55726 0.667923 0 19.6399
10000.00 999.15 0.799966 47.839 0.0808851 6.69941 0.0763904 0.31508 0.812754 15.9746 0.100608 0.985595 6.58256 0.652387 0 19.8807
10000.00 998.15 0.790779 47.4731 0.0783162 6.64204 0.0770672 0.317499 0.818127 16.1607 0.100473 0.977631 6.60563 0.637751 0 20.1117
10000.00 997.15 0.782130 47.1219 0.0758796 6.58619 0.0777185 0.319707 0.823199 16.3399 0.100333 0.96965 6.62746 0.62392 0 20.3341
10000.00 996.15 0.773961 46.7843 0.0735634 6.53176 0.0783466 0.321725 0.827997 16.5128 0.10019 0.961658 6.64817 0.610812 0 20.5487
10000.00 995.15 0.766225 46.4589 0.0713574 6.47862 0.0789537 0.323574 0.832544 16.68 0.100043 0.95366 6.66786 0.598357 0 20.7562
10000.00 994.15 0.758880 46.1448 0.0692525 6.42669 0.0795417 0.32527 0.836861 16.8419 0.0998946 0.945661 6.68661 0.586495 0 20.9571
10000.00 993.15 0.751890 45.8411 0.0672409 6.37587 0.0801122 0.326828 0.840967 16.9989 0.099745 0.937665 6.70451 0.575173 0 21.1519
10000.00 992.15 0.745236 45.5473 0.0651586 6.32565 0.0806822 0.328644 0.845038 17.151 0.0997262 0.930682 6.72096 0.564373 0 21.3408
10000.00 991.15 0.738913 45.2632 0.0627053 6.27502 0.0812873 0.331499 0.849445 17.2977 0.100097 0.926749 6.73471 0.554111 0 21.5234
10000.00 990.15 0.732863 44.9875 0.0603522 6.22526 0.0818834 0.334276 0.853727 17.4405 0.100468 0.922891 6.74773 0.544266 0 21.7011
10000.00 989.15 0.727064 44.7196 0.0580937 6.17633 0.082471 0.336981 0.857892 17.5796 0.100839 0.919106 6.7601 0.534806 0 21.8741
10000.00 988.15 0.721498 44.459 0.0559249 6.12816 0.083051 0.33962 0.861949 17.7153 0.10121 0.915389 6.77184 0.525703 0 22.0429
10000.00 987.15 0.716147 44.2052 0.0538413 6.08072 0.083624 0.342197 0.865904 17.8476 0.10158 0.911738 6.78301 0.516932 0 22.2076
10000.00 986.15 0.710996 43.9579 0.0518387 6.03398 0.0841905 0.344715 0.869764 17.9769 0.101949 0.90815 6.79364 0.508469 0 22.3685
10000.00 985.15 0.706032 43.7166 0.049913 5.98789 0.0847511 0.347178 0.873534 18.1033 0.102317 0.904622 6.80377 0.500295 0 22.5258
10000.00 984.15 0.701241 43.4811 0.0480608 5.94242 0.085306 0.349589 0.877219 18.227 0.102684 0.901152 6.81342 0.49239 0 22.6797
10000.00 983.15 0.696612 43.2509 0.0462786 5.89754 0.0858558 0.351951 0.880821 18.3481 0.10305 0.897736 6.82262 0.484739 0 22.8304
10000.00 982.15 0.692136 43.0259 0.0445633 5.85323 0.0864006 0.354267 0.884346 18.4668 0.103413 0.894372 6.83141 0.477326 0 22.978
10000.00 981.15 0.687803 42.8057 0.042912 5.80946 0.0869409 0.356537 0.887795 18.5831 0.103776 0.891057 6.83979 0.470137 0 23.1228
10000.00 980.15 0.683605 42.5902 0.0413219 5.76621 0.0874767 0.358765 0.891172 18.6972 0.104136 0.887789 6.84781 0.463159 0 23.2648
10000.00 979.15 0.679534 42.379 0.0397903 5.72346 0.0880082 0.360951 0.894477 18.8092 0.104493 0.884565 6.85546 0.456381 0 23.4041
10000.00 978.15 0.675583 42.1721 0.0383149 5.68119 0.0885355 0.363096 0.897712 18.9193 0.104849 0.881381 6.86278 0.449792 0 23.541
10000.00 977.15 0.671745 41.9691 0.0368933 5.63937 0.0890588 0.365202 0.900879 19.0274 0.105201 0.878236 6.86979 0.443383 0 23.6755
10000.00 976.15 0.666257 41.8219 0.0433045 5.58442 0.0740996 0.351252 0.745253 19.1841 0.0991732 0.8508 6.93794 0.43725 0 23.8705
10000.00 975.15 0.662533 41.6289 0.0422272 5.54272 0.073659 0.352279 0.738912 19.2919 0.0991968 0.846292 6.94808 0.431164 0 24.0047
10000.00 974.15 0.658907 41.4393 0.041182 5.50143 0.073209 0.353286 0.732498 19.3981 0.0992267 0.841809 6.95795 0.425231 0 24.1368
10000.00 973.15 0.655374 41.253 0.0401679 5.46054 0.0727503 0.354275 0.72602 19.5027 0.0992628 0.837348 6.96757 0.419444 0 24.2669
10000.00 972.15 0.651929 41.0699 0.0391836 5.42004 0.0722837 0.355247 0.719486 19.6057 0.099305 0.832908 6.97696 0.413796 0 24.3952
10000.00 971.15 0.648569 40.8899 0.0382279 5.37991 0.0718096 0.356204 0.712902 19.7073 0.0993531 0.82849 6.98612 0.40828 0 24.5215
10000.00 970.15 0.645289 40.7128 0.0372996 5.34014 0.0713287 0.357147 0.706274 19.8074 0.099407 0.824092 6.99506 0.402891 0 24.6462
10000.00 969.15 0.642087 40.5384 0.0363977 5.30072 0.0708415 0.358078 0.699608 19.9062 0.0994665 0.819716 7.00379 0.397623 0 24.7691
10000.00 968.15 0.638959 40.3669 0.0355212 5.26164 0.0703485 0.358995 0.69291 20.0037 0.0995304 0.815361 7.01232 0.392472 0 24.8904
10000.00 967.15 0.635901 40.1979 0.0346692 5.2229 0.0698504 0.359895 0.686186 20.0999 0.099598 0.811028 7.02064 0.387433 0 25.01
10000.00 966.15 0.632911 40.0315 0.0338408 5.18448 0.0693473 0.360782 0.679439 20.1948 0.0996692 0.806716 7.02878 0.382502 0 25.1282
10000.00 965.15 0.629987 39.8675 0.033035 5.14637 0.0688399 0.361655 0.672675 20.2886 0.0997441 0.802426 7.03672 0.377673 0 25.2448
