Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1180.00,1.000,-9.448,5.5896905647406e+001,2.7049,48.9395,1.7076,14.5468,1.3632,0.0490,10.3353,0.0000,7.8134,0.0000,0.0000,11.4532,3.2432,0.0498,0.1426,0.3565,0.0000,0.0000,0.0000,0.0000,-8.8912522579095e+002,-6.7093489006078e+002,1.5014990588045e+002,2.0665418838783e+001,8.2069460253540e+001,4.0580666e-001,3.8711865e-002,1.0618933e-002,2.0968705e-003,2.2855811e-003,8.0498371e-002,5.7699710e-001,5.5630813e-002,1.4303764e+000,5.9979979e-001,1.2765388e-001,2.3869531e-004,9.2343366e-004,8.1267566e-002,7.0876961e-001,7.2238351e-001,7.2238351e-001,7.2238351e-001,3.0257502e-003,2.2104,4.4103094352594e+001,2.8565,-7.4170784134698e+002,-5.8711803666018e+002,1.0638255148250e+002,1.5439601290259e+001,5.3975710718176e+001,-1.6308330671379e+003,-1.2580529267210e+003,2.5653245736295e+002,3.6105020129042e+001,1.3604517097172e+002,1.9983484196312e-003,-1.3267932766920e-004,5.5348215081697e-005,3.6748166098509e-006,1.5293697647879e-003,-1.1400827515376e-004,7.4006231217423e-005,5.5168625442906e-006
2,1180.00,1.000,-9.448,5.5896905647406e+001,2.7049,48.9395,1.7076,14.5468,1.3632,0.0490,10.3353,0.0000,7.8134,0.0000,0.0000,11.4532,3.2432,0.0498,0.1426,0.3565,0.0000,0.0000,0.0000,0.0000,-8.8912522579095e+002,-6.7093489006078e+002,1.5014990588045e+002,2.0665418838783e+001,8.2069460253540e+001,4.0580666e-001,3.8711865e-002,1.0618933e-002,2.0968705e-003,2.2855811e-003,8.0498371e-002,5.7699710e-001,5.5630813e-002,1.4303764e+000,5.9979979e-001,1.2765388e-001,2.3869531e-004,9.2343366e-004,8.1267566e-002,7.0876961e-001,7.2238351e-001,7.2238351e-001,7.2238351e-001,3.0257502e-003,2.2104,4.4103094352594e+001,2.8565,-7.4170784134698e+002,-5.8711803666018e+002,1.0638255148250e+002,1.5439601290259e+001,5.3975710718176e+001,-1.6308330671379e+003,-1.2580529267210e+003,2.5653245736295e+002,3.6105020129042e+001,1.3604517097172e+002,1.9983484196312e-003,-1.3267932766920e-004,5.5348215081697e-005,3.6748166098509e-006,1.5293697647879e-003,-1.1400827515376e-004,7.4006231217423e-005,5.5168625442906e-006
3,1180.00,1.000,-9.448,5.5896905647406e+001,2.7049,48.9395,1.7076,14.5468,1.3632,0.0490,10.3353,0.0000,7.8134,0.0000,0.0000,11.4532,3.2432,0.0498,0.1426,0.3565,0.0000,0.0000,0.0000,0.0000,-8.8912522579095e+002,-6.7093489006078e+002,1.5014990588045e+002,2.0665418838783e+001,8.2069460253540e+001,4.0580666e-001,3.8711865e-002,1.0618933e-002,2.0968705e-003,2.2855811e-003,8.0498371e-002,5.7699710e-001,5.5630813e-002,1.4303764e+000,5.9979979e-001,1.2765388e-001,2.3869531e-004,9.2343366e-004,8.1267566e-002,7.0876961e-001,7.2238351e-001,7.2238351e-001,7.2238351e-001,3.0257502e-003,2.2104,4.4103094352594e+001,2.8565,-7.4170784134698e+002,-5.8711803666018e+002,1.0638255148250e+002,1.5439601290259e+001,5.3975710718176e+001,-1.6308330671379e+003,-1.2580529267210e+003,2.5653245736295e+002,3.6105020129042e+001,1.3604517097172e+002,1.9983484196312e-003,-1.3267932766920e-004,5.5348215081697e-005,3.6748166098509e-006,1.5293697647879e-003,-1.1400827515376e-004,7.4006231217423e-005,5.5168625442906e-006
4,1180.00,1.000,-8.319,4.4686234029835e+001,2.6387,50.8353,2.0476,15.4702,1.5255,0.0351,6.5021,0.0000,7.8919,0.0000,0.0000,11.3077,3.6987,0.0615,0.1784,0.4459,0.0000,0.0000,0.0000,0.0000,-7.2969123174131e+002,-5.5376807398722e+002,1.2106331607479e+002,1.6934974377156e+001,6.6123104731590e+001,4.0870401e-001,4.9838902e-002,1.0762967e-002,3.3450620e-003,2.0173819e-003,5.1489613e-002,6.1263880e-001,6.0600763e-002,1.6072997e+000,6.6970709e-001,1.2343802e-001,2.4431250e-004,9.1814435e-004,9.3561672e-002,7.6140895e-001,7.3098131e-001,7.3098131e-001,7.3098131e-001,4.2600634e-003,2.4458,1.5531376597016e+002,3.1037,-2.5395469994710e+003,-1.9940015755383e+003,3.7542265005867e+002,5.0041172065682e+001,1.9352589782277e+002,-3.2692382312124e+003,-2.5477696495255e+003,4.9648596613346e+002,6.6976146442839e+001,2.5964900255436e+002,3.2965770401281e-003,-1.4269832049021e-004,4.9220165912973e-005,2.1305842164568e-006,1.2335776393456e-003,-9.7121607996559e-005,7.2842013921768e-005,5.7349722434518e-006
5,1180.00,4.000,-9.395,3.3248594023177e+001,2.7463,47.0739,2.1197,16.5263,1.3455,0.0119,12.4442,0.0000,6.4283,0.0000,0.0000,8.8927,4.2407,0.0776,0.2397,0.5994,0.0000,0.0000,0.0000,0.0000,-5.1950283127416e+002,-3.8852446004120e+002,9.0134102627366e+001,1.2106775049875e+001,4.8371557684243e+001,3.7922281e-001,6.0544422e-002,1.3646774e-002,1.5273179e-003,4.6697741e-004,1.0021933e-001,5.4548663e-001,4.7986522e-002,1.4799203e+000,7.0475037e-001,9.4522049e-002,2.4728905e-004,1.3303407e-003,1.6430303e-001,6.8728832e-001,7.5987635e-001,7.5987635e-001,7.5987635e-001,8.2608480e-003,2.0688,6.6751405976824e+001,2.9567,-1.1007221012497e+003,-8.6802111437130e+002,1.6013555853033e+002,2.2576115321039e+001,8.0899907112691e+001,-1.6202249325238e+003,-1.2565455744125e+003,2.5026966115770e+002,3.4682890370914e+001,1.2927146479693e+002,1.7304643173802e-003,-9.2839268937350e-005,4.9893890009566e-005,2.6768031137107e-006,9.8617394948145e-004,-6.7187025808842e-005,8.1456370124897e-005,5.5495394547319e-006
6,1180.00,4.000,-8.316,2.3549859137043e+001,2.6224,50.5101,2.1920,18.3780,1.1958,0.0057,5.9561,0.0000,6.5161,0.0000,0.0000,8.7338,5.2202,0.1075,0.3385,0.8462,0.0000,0.0000,0.0000,0.0000,-3.8618708903829e+002,-2.9173179711867e+002,6.5000372927520e+001,8.9801718829262e+000,3.4770260026062e+001,3.7737840e-001,7.2612811e-002,1.4014938e-002,2.5784147e-003,3.3587068e-004,5.0763092e-002,6.1038935e-001,5.5927161e-002,1.8090669e+000,8.4621767e-001,9.1126527e-002,2.6266593e-004,1.3335236e-003,2.0488935e-001,8.0502784e-001,7.8454900e-001,7.8454900e-001,7.8454900e-001,1.3082350e-002,2.4672,1.7645014086296e+002,3.1201,-2.8631809715206e+003,-2.2455594463238e+003,4.2502255458608e+002,5.6553042466320e+001,2.1840050197382e+002,-3.2493680605589e+003,-2.5372912434425e+003,4.9002292751360e+002,6.5533214349246e+001,2.5317076199988e+002,3.0401127947592e-003,-1.0517952166851e-004,4.6390411716378e-005,1.6049803555793e-006,7.2599392724053e-004,-5.3426892914740e-005,8.0844101505546e-005,5.9494287649794e-006
7,1180.00,4.000,-9.395,3.3248594023177e+001,2.7463,47.0739,2.1197,16.5263,1.3455,0.0119,12.4442,0.0000,6.4283,0.0000,0.0000,8.8927,4.2407,0.0776,0.2397,0.5994,0.0000,0.0000,0.0000,0.0000,-5.1950283127416e+002,-3.8852446004120e+002,9.0134102627366e+001,1.2106775049875e+001,4.8371557684243e+001,3.7922281e-001,6.0544422e-002,1.3646774e-002,1.5273179e-003,4.6697741e-004,1.0021933e-001,5.4548663e-001,4.7986522e-002,1.4799203e+000,7.0475037e-001,9.4522049e-002,2.4728905e-004,1.3303407e-003,1.6430303e-001,6.8728832e-001,7.5987635e-001,7.5987635e-001,7.5987635e-001,8.2608480e-003,2.0688,6.6751405976824e+001,2.9567,-1.1007221012497e+003,-8.6802111437130e+002,1.6013555853033e+002,2.2576115321039e+001,8.0899907112691e+001,-1.6202249325238e+003,-1.2565455744125e+003,2.5026966115770e+002,3.4682890370914e+001,1.2927146479693e+002,1.7304643173802e-003,-9.2839268937350e-005,4.9893890009566e-005,2.6768031137107e-006,9.8617394948145e-004,-6.7187025808842e-005,8.1456370124897e-005,5.5495394547319e-006
8,1180.00,4.000,-9.335,2.9797891647826e+001,2.7881,45.0896,2.3037,16.2963,1.4511,0.0087,13.7571,0.0000,7.1045,0.0000,0.0000,9.8615,3.1323,0.0590,0.2675,0.6688,0.0000,0.0000,0.0000,0.0000,-4.6093074452141e+002,-3.4404400829714e+002,8.0436800209391e+001,1.0687507251574e+001,4.3591927508899e+001,3.7181520e-001,5.6315228e-002,1.4608949e-002,1.4840599e-003,2.5098986e-004,1.0315453e-001,4.6913573e-001,4.7559146e-002,1.2337995e+000,5.7393924e-001,9.5524018e-002,1.8951629e-004,1.1210549e-003,1.6386850e-001,6.2455283e-001,6.9811844e-001,6.9811844e-001,6.9811844e-001,1.1306534e-002,1.8185,1.7020210835217e+002,2.7836,-2.8810475703732e+003,-2.2833073049108e+003,4.1134106283753e+002,6.1144210866490e+001,2.0797378154542e+002,-3.3419783148946e+003,-2.6273513132080e+003,4.9177786304693e+002,7.1831718118065e+001,2.5156570905431e+002,2.5476017845735e-003,-1.3618454382072e-004,3.5466251557372e-005,1.8958831472871e-006,9.0108181224564e-004,-5.7388039527570e-005,8.4311691307895e-005,5.3696374820345e-006
