,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
40,Hpsulf27e,15.0,1473,48.6,1.68,14.22,17.56,4.75,7.89,1.98,0.0,0.0,0.0,1797,-8.53,,,,,,,,1199.85
41,cent109,0.002,1473,49.6,5.69,8.74,9.97,9.73,11.99,1.79,1.06,0.63,0.0,1778,-8.37,,,,,,,,1199.85
42,cent95,0.001,1473,50.4,5.59,9.34,8.18,9.82,12.03,1.49,0.99,0.92,0.0,1615,-8.89,,,,,,,,1199.85
43,cent85,0.001,1473,51.7,6.09,9.57,5.89,9.76,12.15,1.79,1.13,0.98,0.0,1284,-7.72,,,,,,,,1199.85
44,cent89,0.001,1473,50.9,6.33,10.39,4.76,11.02,12.77,1.09,0.58,0.99,0.0,1256,-7.83,,,,,,,,1199.85
45,Hpsulf30,15.0,1523,50.8,1.79,14.67,10.75,6.19,8.83,2.66,0.0,0.0,0.0,912,-8.2,,,,,,,,1249.85
46,Hpsulf19,15.0,1473,51.5,1.92,15.46,11.71,4.57,7.99,2.98,0.0,0.0,0.0,768,-8.53,,,,,,,,1199.85
47,Hpsulf46,15.0,1473,54.6,1.91,15.24,3.91,6.35,8.49,1.88,0.0,0.0,0.0,726,-8.53,,,,,,,,1199.85
48,B152,10.0,1873,48.5,0.36,6.1,14.3,20.9,6.9,0.54,0.04,0.15,1.1,5540,-6.4,,,,,,,,1599.85
49,B163,10.0,1873,46.5,0.65,10.0,16.4,9.23,12.9,1.78,0.17,0.55,0.1,5000,-6.4,,,,,,,,1599.85
50,B159,10.0,1873,50.9,0.4,6.02,15.0,18.4,6.96,0.47,0.05,0.16,0.0,4800,-6.4,,,,,,,,1599.85
51,B188,20.0,1973,46.7,0.53,10.77,17.3,9.58,13.55,1.62,0.16,0.59,0.0,4800,-4.99,,,,,,,,1699.85
52,B167,15.0,1873,45.6,0.5,10.9,17.0,9.3,13.0,1.65,0.15,0.56,0.0,4800,-5.95,,,,,,,,1599.85
53,B197,10.0,1873,49.0,0.63,8.3,15.7,9.92,13.35,1.87,0.15,0.46,1.7,4700,-6.4,,,,,,,,1599.85
54,B181,10.0,1873,47.5,0.63,9.9,12.1,11.0,15.6,1.78,0.18,0.48,0.0,4700,-6.4,,,,,,,,1599.85
55,B186,20.0,1923,46.0,0.63,10.7,17.7,9.5,13.4,1.7,0.17,0.58,0.0,4600,-5.23,,,,,,,,1649.85
56,B165,20.0,1873,45.3,0.51,10.59,16.4,9.6,13.5,1.69,0.16,0.56,0.0,4200,-5.49,,,,,,,,1599.85
57,B160,15.0,1873,49.5,0.38,6.2,13.4,20.6,7.5,0.45,0.03,0.17,0.0,4100,-5.95,,,,,,,,1599.85
58,B161,20.0,1873,49.8,0.52,5.8,17.0,19.6,6.6,0.53,0.03,0.17,0.0,3800,-5.49,,,,,,,,1599.85
59,B164,25.0,1873,45.9,0.49,10.6,15.8,9.9,13.89,1.64,0.16,0.59,0.0,3700,-7.34,,,,,,,,1599.85
60,B190,20.0,1823,47.3,0.6,9.68,17.4,9.07,13.04,1.71,0.16,0.52,0.0,3600,-5.76,,,,,,,,1549.85
61,B162,25.0,1873,48.9,0.47,7.1,17.1,17.2,7.63,0.6,0.05,0.19,0.0,3500,-7.34,,,,,,,,1599.85
62,MA38,40.0,1873,46.6,0.6,9.55,13.9,11.5,13.7,1.43,0.14,0.52,0.0,3400,-3.66,,,,,,,,1599.85
63,MA36,50.0,1923,44.8,0.48,10.3,13.5,12.4,14.6,1.4,0.13,0.58,0.0,3400,-2.57,,,,,,,,1649.85
64,B189,20.0,1773,45.8,0.55,11.3,16.5,9.9,13.71,1.67,0.16,0.62,0.0,3300,-6.04,,,,,,,,1499.85
65,B191,30.0,1873,45.6,0.47,11.4,15.7,10.7,14.79,1.63,0.16,0.63,0.0,3000,-4.58,,,,,,,,1599.85
66,MA37,50.0,1873,45.6,0.55,11.3,14.4,11.5,14.1,1.44,0.18,0.61,0.0,2800,-2.75,,,,,,,,1599.85
67,8F1,0.001,1473,41.8,1.51,15.65,26.24,3.68,7.24,1.66,1.23,0.0,0.0,2690,-9.64,,,,,,,,1199.85
68,9F2,0.001,1473,43.8,1.61,17.13,22.19,3.94,7.31,2.55,1.12,0.0,0.0,2320,-8.86,,,,,,,,1199.85
