,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
41,MP11II,2.202,1208.15,77.44,,13.55,0.05,0.33,2.08,4.48,2.07,,,,-11.92,,,,,,,,935.0000000000001
42,MP11III,2.202,1208.15,77.27,,13.6,0.11,0.32,2.05,4.52,2.12,,,,-12.11,,,,,,,,935.0000000000001
43,MP11IV,2.202,1208.15,77.39,,13.54,0.09,0.35,1.92,4.5,2.21,,,,-12.31,,,,,,,,935.0000000000001
44,MP6II,2.003,1207.15,76.79,,13.67,1.06,0.35,1.97,3.99,2.16,,,,-11.66,,,,,,,,934.0000000000001
45,MP6III,2.003,1207.15,77.34,,13.77,0.44,0.35,2.0,4.02,2.08,,,,-11.79,,,,,,,,934.0000000000001
46,MP18I,2.188,1267.15,77.32,,13.73,0.46,0.34,2.02,4.23,1.89,,,,-11.64,,,,,,,,994.0000000000001
47,MP18II,2.188,1267.15,77.08,,13.68,0.92,0.32,2.07,4.12,1.8,,,,-11.29,,,,,,,,994.0000000000001
48,MP18IV,2.188,1267.15,77.51,,13.69,0.26,0.33,2.07,4.26,1.87,,,,-11.69,,,,,,,,994.0000000000001
49,MP18V,2.188,1267.15,77.22,,13.8,0.16,0.31,2.1,4.53,1.88,,,,-12.11,,,,,,,,994.0000000000001
50,MP18VI,2.188,1267.15,77.31,,13.78,0.09,0.34,2.12,4.52,1.83,,,,-12.52,,,,,,,,994.0000000000001
51,MP18VII,2.188,1267.15,77.52,,13.64,0.12,0.31,2.09,4.46,1.85,,,,-12.21,,,,,,,,994.0000000000001
52,MP18XII13,2.188,1267.15,76.7,,13.67,1.09,0.33,2.07,4.24,1.9,,,,-11.11,,,,,,,,994.0000000000001
53,MP18SN,2.188,1267.15,76.33,,13.72,1.5,0.32,2.03,4.2,1.9,,,,-11.1,,,,,,,,994.0000000000001
54,PIN18IX,2.188,1267.15,77.0,,13.51,0.27,0.33,2.09,4.89,1.9,,,,-12.62,,,,,,,,994.0000000000001
55,G195,20.0,1123.15,71.3,0.2,14.58,0.95,0.31,0.85,0.98,1.5,0.0,,,-13.16,,,,,,,,850.0000000000001
56,G190,20.0,1173.15,67.3,0.11,14.3,1.04,0.27,1.22,1.23,2.24,0.0,,,-12.04,,,,,,,,900.0000000000001
57,G207,20.0,1198.15,67.1,0.28,13.84,1.39,0.33,1.01,2.13,2.69,0.0,,,-11.66,,,,,,,,925.0000000000001
58,G193,20.0,1223.15,69.0,0.3,14.77,1.29,0.3,0.93,1.75,2.64,0.0,,,-11.44,,,,,,,,950.0000000000001
