Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
36 3000.00 1295.00 99.877174 47.6381 1.9272 12.4059 1.38871 0 11.253 0.236213 6.21559 0 0 10.6446 2.33401 0.231526 0.17716 5.51969 0.0283186
37 3000.00 1292.00 99.879109 47.6372 1.92716 12.4056 1.38868 0 11.2528 0.236208 6.21547 0 0 10.6444 2.33396 0.231522 0.177156 5.52132 0.0285212
38 3000.00 1289.00 99.881033 47.6363 1.92712 12.4054 1.38866 0 11.2526 0.236204 6.21535 0 0 10.6442 2.33392 0.231517 0.177153 5.52293 0.0287247
39 3000.00 1286.00 99.882946 47.6354 1.92709 12.4051 1.38863 0 11.2524 0.236199 6.21523 0 0 10.644 2.33387 0.231513 0.177149 5.52454 0.0289289
40 3000.00 1283.00 99.884849 47.6345 1.92705 12.4049 1.3886 0 11.2521 0.236195 6.21511 0 0 10.6438 2.33383 0.231508 0.177146 5.52613 0.0291341
41 3000.00 1280.00 99.886742 47.6336 1.92701 12.4047 1.38858 0 11.2519 0.23619 6.21499 0 0 10.6436 2.33378 0.231504 0.177143 5.52771 0.0293403
42 3000.00 1277.00 99.888626 47.6327 1.92698 12.4044 1.38855 0 11.2517 0.236186 6.21487 0 0 10.6434 2.33374 0.2315 0.177139 5.52929 0.0295475
43 3000.00 1274.00 99.890500 47.6318 1.92694 12.4042 1.38852 0 11.2515 0.236181 6.21476 0 0 10.6432 2.3337 0.231495 0.177136 5.53085 0.0297558
44 3000.00 1271.00 99.892366 47.6309 1.9269 12.404 1.3885 0 11.2513 0.236177 6.21464 0 0 10.643 2.33365 0.231491 0.177133 5.53241 0.0299651
45 3000.00 1268.00 99.894222 47.63 1.92687 12.4037 1.38847 0 11.2511 0.236173 6.21453 0 0 10.6428 2.33361 0.231487 0.177129 5.53395 0.0301756
46 3000.00 1265.00 99.896069 47.6291 1.92683 12.4035 1.38845 0 11.2509 0.236168 6.21441 0 0 10.6426 2.33357 0.231482 0.177126 5.53548 0.0303872
47 3000.00 1262.00 99.897907 47.6283 1.9268 12.4033 1.38842 0 11.2507 0.236164 6.2143 0 0 10.6424 2.33352 0.231478 0.177123 5.53701 0.0305999
48 3000.00 1259.00 99.899736 47.6274 1.92676 12.4031 1.3884 0 11.2505 0.23616 6.21418 0 0 10.6422 2.33348 0.231474 0.17712 5.53852 0.0308137
49 3000.00 1256.00 99.901556 47.6265 1.92673 12.4028 1.38837 0 11.2503 0.236155 6.21407 0 0 10.642 2.33344 0.23147 0.177116 5.54003 0.0310287
50 3000.00 1253.00 99.903368 47.6256 1.92669 12.4026 1.38835 0 11.2501 0.236151 6.21396 0 0 10.6418 2.3334 0.231465 0.177113 5.54153 0.0312449
51 3000.00 1250.00 99.905171 47.6248 1.92666 12.4024 1.38832 0 11.2499 0.236147 6.21384 0 0 10.6416 2.33335 0.231461 0.17711 5.54301 0.0314622
52 3000.00 1247.00 99.906965 47.6239 1.92662 12.4022 1.3883 0 11.2497 0.236142 6.21373 0 0 10.6414 2.33331 0.231457 0.177107 5.54449 0.0316807
53 3000.00 1244.00 99.908750 47.6231 1.92659 12.4019 1.38827 0 11.2495 0.236138 6.21362 0 0 10.6412 2.33327 0.231453 0.177104 5.54596 0.0319003
54 3000.00 1241.00 99.910526 47.6222 1.92655 12.4017 1.38825 0 11.2493 0.236134 6.21351 0 0 10.641 2.33323 0.231449 0.177101 5.54742 0.0321211
55 3000.00 1238.00 99.912294 47.6214 1.92652 12.4015 1.38822 0 11.2491 0.23613 6.2134 0 0 10.6408 2.33319 0.231445 0.177097 5.54886 0.032343
56 3000.00 1235.00 99.914053 47.6206 1.92649 12.4013 1.3882 0 11.2489 0.236126 6.21329 0 0 10.6406 2.33315 0.231441 0.177094 5.5503 0.032566
57 3000.00 1232.00 99.915803 47.6197 1.92645 12.4011 1.38817 0 11.2487 0.236122 6.21318 0 0 10.6405 2.33311 0.231437 0.177091 5.55173 0.0327902
58 3000.00 1229.00 99.917544 47.6189 1.92642 12.4009 1.38815 0 11.2485 0.236117 6.21307 0 0 10.6403 2.33307 0.231433 0.177088 5.55315 0.0330155
59 3000.00 1226.00 99.919276 47.6181 1.92639 12.4006 1.38812 0 11.2483 0.236113 6.21297 0 0 10.6401 2.33302 0.231429 0.177085 5.55456 0.0332419
60 3000.00 1223.00 99.921000 47.6172 1.92635 12.4004 1.3881 0 11.2481 0.236109 6.21286 0 0 10.6399 2.33298 0.231425 0.177082 5.55596 0.0334694
61 3000.00 1220.00 99.922714 47.6164 1.92632 12.4002 1.38808 0 11.2479 0.236105 6.21275 0 0 10.6397 2.33294 0.231421 0.177079 5.55736 0.0336979
62 3000.00 1217.00 99.924419 47.6156 1.92629 12.4 1.38805 0 11.2477 0.236101 6.21265 0 0 10.6395 2.3329 0.231417 0.177076 5.55874 0.0339276
63 3000.00 1214.00 99.926115 47.6148 1.92625 12.3998 1.38803 0 11.2475 0.236097 6.21254 0 0 10.6394 2.33287 0.231413 0.177073 5.56011 0.0341582
64 3000.00 1211.00 99.927802 47.614 1.92622 12.3996 1.38801 0 11.2473 0.236093 6.21244 0 0 10.6392 2.33283 0.231409 0.17707 5.56147 0.0343898
65 3000.00 1208.00 99.929479 47.6132 1.92619 12.3994 1.38798 0 11.2471 0.236089 6.21233 0 0 10.639 2.33279 0.231405 0.177067 5.56282 0.0346223
66 3000.00 1205.00 99.931146 47.6124 1.92616 12.3992 1.38796 0 11.2469 0.236085 6.21223 0 0 10.6388 2.33275 0.231401 0.177064 5.56416 0.0348557
67 3000.00 1202.00 99.932803 47.6116 1.92612 12.399 1.38794 0 11.2467 0.236081 6.21213 0 0 10.6387 2.33271 0.231397 0.177061 5.5655 0.03509
68 3000.00 1199.00 99.934450 47.6108 1.92609 12.3988 1.38791 0 11.2466 0.236078 6.21202 0 0 10.6385 2.33267 0.231393 0.177058 5.56682 0.0353249
69 3000.00 1196.00 99.936085 47.6101 1.92606 12.3986 1.38789 0 11.2464 0.236074 6.21192 0 0 10.6383 2.33263 0.23139 0.177055 5.56812 0.0355604
70 3000.00 1193.00 99.937708 47.6093 1.92603 12.3983 1.38787 0 11.2462 0.23607 6.21182 0 0 10.6381 2.33259 0.231386 0.177052 5.56942 0.0357963
71 3000.00 1190.00 99.939317 47.6085 1.926 12.3981 1.38785 0 11.246 0.236066 6.21172 0 0 10.638 2.33256 0.231382 0.17705 5.57071 0.0360323
72 3000.00 1187.00 99.940910 47.6078 1.92597 12.398 1.38782 0 11.2458 0.236062 6.21162 0 0 10.6378 2.33252 0.231378 0.177047 5.57197 0.036268
73 3000.00 1184.00 99.942484 47.607 1.92594 12.3978 1.3878 0 11.2457 0.236059 6.21152 0 0 10.6376 2.33248 0.231375 0.177044 5.57323 0.0365026
74 3000.00 1181.00 99.944031 47.6063 1.92591 12.3976 1.38778 0 11.2455 0.236055 6.21143 0 0 10.6375 2.33245 0.231371 0.177041 5.57445 0.0367348
75 3000.00 1178.00 99.945531 47.6056 1.92588 12.3974 1.38776 0 11.2453 0.236051 6.21133 0 0 10.6373 2.33241 0.231368 0.177038 5.57565 0.0369612
76 3000.00 1175.00 99.946913 47.6049 1.92585 12.3972 1.38774 0 11.2452 0.236048 6.21125 0 0 10.6372 2.33238 0.231365 0.177036 5.57674 0.037168
77 3000.00 1172.00 99.946617 47.605 1.92586 12.3972 1.38774 0 11.2452 0.236049 6.21127 0 0 10.6372 2.33239 0.231365 0.177037 5.57657 0.0370667
78 3000.00 1169.00 99.947479 47.6046 1.92584 12.3971 1.38773 0 11.2451 0.236047 6.21121 0 0 10.6371 2.33237 0.231363 0.177035 5.57727 0.0371806
79 3000.00 1166.00 99.948534 47.6041 1.92582 12.397 1.38772 0 11.245 0.236044 6.21115 0 0 10.637 2.33234 0.231361 0.177033 5.57811 0.037332
80 3000.00 1163.00 99.949655 47.6036 1.9258 12.3969 1.3877 0 11.2449 0.236042 6.21108 0 0 10.6369 2.33232 0.231358 0.177031 5.579 0.0374977
81 3000.00 1160.00 99.950808 47.603 1.92578 12.3967 1.38769 0 11.2447 0.236039 6.21101 0 0 10.6367 2.33229 0.231356 0.177029 5.57992 0.0376712
82 3000.00 1157.00 99.951978 47.6025 1.92575 12.3966 1.38767 0 11.2446 0.236036 6.21093 0 0 10.6366 2.33226 0.231353 0.177027 5.58084 0.0378499
83 3000.00 1154.00 99.953156 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.58177 0.0380322
84 3000.00 1151.00 99.954338 47.6014 1.92571 12.3963 1.38764 0 11.2443 0.236031 6.21079 0 0 10.6364 2.33221 0.231347 0.177023 5.58271 0.0382171
85 3000.00 1148.00 99.955520 47.6008 1.92569 12.3961 1.38762 0 11.2442 0.236028 6.21071 0 0 10.6362 2.33218 0.231345 0.177021 5.58363 0.0384041
86 3000.00 1145.00 99.956700 47.6002 1.92566 12.396 1.3876 0 11.2441 0.236025 6.21064 0 0 10.6361 2.33215 0.231342 0.177019 5.58456 0.0385928
87 3000.00 1142.00 99.957877 47.5997 1.92564 12.3958 1.38759 0 11.2439 0.236022 6.21057 0 0 10.636 2.33212 0.231339 0.177017 5.58548 0.0387828
88 3000.00 1139.00 99.959049 47.5991 1.92562 12.3957 1.38757 0 11.2438 0.236019 6.21049 0 0 10.6359 2.3321 0.231336 0.177015 5.5864 0.0389738
89 3000.00 1136.00 99.960215 47.5986 1.9256 12.3956 1.38756 0 11.2437 0.236017 6.21042 0 0 10.6357 2.33207 0.231334 0.177012 5.58731 0.0391656
90 3000.00 1133.00 99.961374 47.598 1.92557 12.3954 1.38754 0 11.2435 0.236014 6.21035 0 0 10.6356 2.33204 0.231331 0.17701 5.58821 0.0393581
91 3000.00 1130.00 99.962527 47.5975 1.92555 12.3953 1.38752 0 11.2434 0.236011 6.21028 0 0 10.6355 2.33202 0.231328 0.177008 5.5891 0.0395512
92 3000.00 1127.00 99.963672 47.5969 1.92553 12.3951 1.38751 0 11.2433 0.236008 6.21021 0 0 10.6354 2.33199 0.231326 0.177006 5.58999 0.0397447
93 3000.00 1124.00 99.964809 47.5964 1.92551 12.395 1.38749 0 11.2431 0.236006 6.21014 0 0 10.6352 2.33196 0.231323 0.177004 5.59087 0.0399385
94 3000.00 1121.00 99.965937 47.5958 1.92549 12.3948 1.38748 0 11.243 0.236003 6.21007 0 0 10.6351 2.33194 0.231321 0.177002 5.59174 0.0401325
95 3000.00 1118.00 99.967057 47.5953 1.92546 12.3947 1.38746 0 11.2429 0.236 6.21 0 0 10.635 2.33191 0.231318 0.177 5.5926 0.0403267
96 3000.00 1115.00 99.968168 47.5948 1.92544 12.3946 1.38745 0 11.2428 0.235998 6.20993 0 0 10.6349 2.33188 0.231315 0.176998 5.59346 0.0405209
97 3000.00 1112.00 99.823080 47.664 1.89478 12.4035 1.35541 0 11.2014 0.236341 6.2054 0 0 10.6503 2.33527 0.231652 0.177256 5.60365 0.0409966
98 3000.00 1113.00 99.886419 47.6337 1.90816 12.3996 1.36935 0 11.2194 0.236191 6.20736 0 0 10.6436 2.33379 0.231505 0.177143 5.5993 0.0408092
99 3000.00 1114.00 99.950402 47.6032 1.92164 12.3957 1.38346 0 11.2376 0.23604 6.20935 0 0 10.6368 2.3323 0.231356 0.17703 5.5949 0.0406205
100 3000.00 1115.00 99.968168 47.5948 1.92544 12.3946 1.38745 0 11.2428 0.235998 6.20993 0 0 10.6349 2.33188 0.231315 0.176998 5.59346 0.0405209
101 3000.00 1114.00 99.950402 47.6032 1.92164 12.3957 1.38346 0 11.2376 0.23604 6.20935 0 0 10.6368 2.3323 0.231356 0.17703 5.5949 0.0406205
102 3000.00 1114.10 99.956836 47.6002 1.923 12.3953 1.38488 0 11.2395 0.236025 6.20955 0 0 10.6361 2.33215 0.231342 0.177018 5.59446 0.0406016
103 3000.00 1114.20 99.963277 47.5971 1.92435 12.3949 1.3863 0 11.2413 0.236009 6.20975 0 0 10.6354 2.332 0.231327 0.177007 5.59402 0.0405827
104 3000.00 1114.30 99.968426 47.5947 1.92544 12.3945 1.38744 0 11.2427 0.235997 6.20991 0 0 10.6349 2.33188 0.231315 0.176998 5.59366 0.0405662
105 3000.00 1114.20 99.963277 47.5971 1.92435 12.3949 1.3863 0 11.2413 0.236009 6.20975 0 0 10.6354 2.332 0.231327 0.177007 5.59402 0.0405827
106 3000.00 1119.20 99.966610 47.5955 1.92547 12.3948 1.38747 0 11.2429 0.236002 6.21003 0 0 10.6351 2.33192 0.231319 0.177001 5.59226 0.040249
107 3000.00 1114.30 99.968426 47.5947 1.92544 12.3945 1.38744 0 11.2427 0.235997 6.20991 0 0 10.6349 2.33188 0.231315 0.176998 5.59366 0.0405662
108 3000.00 1119.30 99.966573 47.5955 1.92547 12.3948 1.38747 0 11.2429 0.236002 6.21003 0 0 10.6351 2.33192 0.231319 0.177001 5.59223 0.0402425
109 3000.00 1114.40 99.968389 47.5947 1.92544 12.3945 1.38744 0 11.2427 0.235997 6.20991 0 0 10.6349 2.33188 0.231315 0.176998 5.59363 0.0405598
110 3000.00 1119.40 99.966535 47.5956 1.92547 12.3948 1.38747 0 11.243 0.236002 6.21003 0 0 10.6351 2.33192 0.231319 0.177001 5.5922 0.0402361
111 3000.00 1114.50 99.968352 47.5947 1.92544 12.3945 1.38744 0 11.2427 0.235997 6.20992 0 0 10.6349 2.33188 0.231315 0.176998 5.5936 0.0405533
112 3000.00 1119.50 99.966498 47.5956 1.92548 12.3948 1.38747 0 11.243 0.236002 6.21003 0 0 10.6351 2.33192 0.231319 0.177001 5.59217 0.0402296
113 3000.00 1114.60 99.968315 47.5947 1.92544 12.3946 1.38744 0 11.2428 0.235998 6.20992 0 0 10.6349 2.33188 0.231315 0.176998 5.59357 0.0405468
114 3000.00 1119.60 99.966461 47.5956 1.92548 12.3948 1.38747 0 11.243 0.236002 6.21003 0 0 10.6351 2.33192 0.231319 0.177001 5.59215 0.0402231
115 3000.00 1114.70 99.968278 47.5947 1.92544 12.3946 1.38744 0 11.2428 0.235998 6.20992 0 0 10.6349 2.33188 0.231315 0.176998 5.59354 0.0405403
116 3000.00 1119.70 99.966423 47.5956 1.92548 12.3948 1.38747 0 11.243 0.236002 6.21004 0 0 10.6351 2.33192 0.231319 0.177001 5.59212 0.0402167
117 3000.00 1114.80 99.968241 47.5947 1.92544 12.3946 1.38744 0 11.2428 0.235998 6.20992 0 0 10.6349 2.33188 0.231315 0.176998 5.59352 0.0405339
118 3000.00 1119.80 99.966386 47.5956 1.92548 12.3948 1.38747 0 11.243 0.236002 6.21004 0 0 10.6351 2.33193 0.23132 0.177002 5.59209 0.0402102
119 3000.00 1114.90 99.968205 47.5948 1.92544 12.3946 1.38745 0 11.2428 0.235998 6.20993 0 0 10.6349 2.33188 0.231315 0.176998 5.59349 0.0405274
120 3000.00 1119.90 99.966349 47.5956 1.92548 12.3948 1.38747 0 11.243 0.236002 6.21004 0 0 10.6351 2.33193 0.23132 0.177002 5.59206 0.0402037
121 3000.00 1115.00 99.968168 47.5948 1.92544 12.3946 1.38745 0 11.2428 0.235998 6.20993 0 0 10.6349 2.33188 0.231315 0.176998 5.59346 0.0405209
122 3000.00 1120.00 99.966311 47.5957 1.92548 12.3948 1.38747 0 11.243 0.236002 6.21004 0 0 10.6351 2.33193 0.23132 0.177002 5.59203 0.0401972
123 3000.00 1115.10 99.968131 47.5948 1.92544 12.3946 1.38745 0 11.2428 0.235998 6.20993 0 0 10.6349 2.33188 0.231315 0.176998 5.59343 0.0405146
124 3000.00 1120.10 99.966274 47.5957 1.92548 12.3948 1.38747 0 11.243 0.236002 6.21005 0 0 10.6351 2.33193 0.23132 0.177002 5.592 0.0401908
125 3000.00 1115.20 99.968094 47.5948 1.92544 12.3946 1.38745 0 11.2428 0.235998 6.20993 0 0 10.6349 2.33189 0.231316 0.176999 5.5934 0.040508
126 3000.00 1120.20 99.966237 47.5957 1.92548 12.3948 1.38747 0 11.243 0.236002 6.21005 0 0 10.6351 2.33193 0.23132 0.177002 5.59197 0.0401843
127 3000.00 1115.30 99.968057 47.5948 1.92545 12.3946 1.38745 0 11.2428 0.235998 6.20994 0 0 10.6349 2.33189 0.231316 0.176999 5.59337 0.0405015
128 3000.00 1120.30 99.966199 47.5957 1.92548 12.3948 1.38747 0 11.243 0.236003 6.21005 0 0 10.6351 2.33193 0.23132 0.177002 5.59194 0.0401778
129 3000.00 1115.40 99.968020 47.5948 1.92545 12.3946 1.38745 0 11.2428 0.235998 6.20994 0 0 10.6349 2.33189 0.231316 0.176999 5.59335 0.040495
130 3000.00 1120.40 99.966162 47.5957 1.92548 12.3948 1.38747 0 11.243 0.236003 6.21005 0 0 10.6351 2.33193 0.23132 0.177002 5.59191 0.0401714
131 3000.00 1115.50 99.967983 47.5949 1.92545 12.3946 1.38745 0 11.2428 0.235998 6.20994 0 0 10.6349 2.33189 0.231316 0.176999 5.59332 0.0404885
132 3000.00 1120.50 99.966124 47.5958 1.92548 12.3948 1.38747 0 11.243 0.236003 6.21006 0 0 10.6351 2.33193 0.23132 0.177002 5.59189 0.0401649
133 3000.00 1115.60 99.967946 47.5949 1.92545 12.3946 1.38745 0 11.2428 0.235998 6.20994 0 0 10.6349 2.33189 0.231316 0.176999 5.59329 0.0404821
