System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
24 5000.00 1331.00 100.000000 1.0000000000000000 1.000000 -1143969.323791 281.236260 36.531702 147.537667 -219.830032 2903.626345 -7.398 -7.398 2.737348 0.000000 1.675 n/a n/a
25 1000.00 1328.00 100.000000 1.0000000000000000 1.000000 -1157306.745343 282.150543 37.523096 147.594333 -282.041382 3065.583272 -7.797 -7.797 2.665025 0.000000 1.686 n/a n/a
26 5000.00 1325.00 100.000000 1.0000000000000000 1.000000 -1144854.543296 280.683395 36.514282 147.535503 -219.661940 2903.189161 -7.458 -7.458 2.738654 0.000000 1.697 n/a n/a
27 3000.00 1322.00 100.000000 1.0000000000000000 1.000000 -1151707.732906 280.993207 36.974066 147.561056 -249.349122 2971.421240 -7.671 -7.671 2.704598 0.000000 1.708 n/a n/a
27 7000.00 1322.00 100.000000 1.0000000000000000 1.000000 -1138956.639048 279.830350 36.094019 147.513313 -192.409773 2859.567286 -7.309 -7.309 2.770542 0.000000 1.708 n/a n/a
28 3000.00 1319.00 100.000000 1.0000000000000000 1.000000 -1152150.414854 280.715429 36.965152 147.560242 -249.227686 2971.143375 -7.701 -7.701 2.705251 0.000000 1.719 n/a n/a
28 7000.00 1319.00 100.000000 1.0000000000000000 1.000000 -1139399.176962 279.552662 36.085440 147.511964 -192.363506 2859.393252 -7.339 -7.339 2.771201 0.000000 1.719 n/a n/a
29 1000.00 1316.00 100.000000 1.0000000000000000 1.000000 -1159077.863854 281.040223 37.486317 147.592085 -281.405145 3064.270038 -7.919 -7.919 2.667640 0.000000 1.731 n/a n/a
29 7000.00 1316.00 100.000000 1.0000000000000000 1.000000 -1139841.710834 279.274453 36.076862 147.510619 -192.317317 2859.216276 -7.369 -7.369 2.771860 0.000000 1.731 n/a n/a
30 5000.00 1313.00 100.000000 1.0000000000000000 1.000000 -1146624.943489 279.571434 36.479449 147.531203 -219.326689 2902.279478 -7.579 -7.579 2.741269 0.000000 1.742 n/a n/a
30 7000.00 1313.00 100.000000 1.0000000000000000 1.000000 -1140284.240677 278.995720 36.068285 147.509277 -192.271205 2859.036356 -7.400 -7.400 2.772519 0.000000 1.742 n/a n/a
31 3000.00 1310.00 100.000000 1.0000000000000000 1.000000 -1153478.446072 279.878950 36.938416 147.557808 -248.863846 2970.292123 -7.793 -7.793 2.707209 0.000000 1.753 n/a n/a
31 7000.00 1310.00 100.000000 1.0000000000000000 1.000000 -1140726.766500 278.716462 36.059708 147.507939 -192.225172 2858.853493 -7.430 -7.430 2.773178 0.000000 1.753 n/a n/a
32 3000.00 1307.00 100.000000 1.0000000000000000 1.000000 -1153921.118283 279.599070 36.929505 147.556999 -248.742721 2970.002486 -7.824 -7.824 2.707862 0.000000 1.764 n/a n/a
32 7000.00 1307.00 100.000000 1.0000000000000000 1.000000 -1141169.288315 278.436677 36.051132 147.506605 -192.179216 2858.667687 -7.461 -7.461 2.773838 0.000000 1.764 n/a n/a
33 5000.00 1304.00 100.000000 1.0000000000000000 1.000000 -1147952.709902 278.731950 36.453332 147.528004 -219.076069 2901.566314 -7.671 -7.671 2.743233 0.000000 1.776 n/a n/a
33 7000.00 1304.00 100.000000 1.0000000000000000 1.000000 -1141611.806132 278.156363 36.042556 147.505274 -192.133338 2858.478938 -7.491 -7.491 2.774498 0.000000 1.776 n/a n/a
34 5000.00 1301.00 100.000000 1.0000000000000000 1.000000 -1148395.292320 278.451061 36.444627 147.526942 -218.992685 2901.322707 -7.702 -7.702 2.743889 0.000000 1.787 n/a n/a
34 7000.00 1301.00 100.000000 1.0000000000000000 1.000000 -1142054.319963 277.875517 36.033981 147.503947 -192.087538 2858.287247 -7.522 -7.522 2.775158 0.000000 1.787 n/a n/a
35 5000.00 1298.00 100.000000 1.0000000000000000 1.000000 -1148837.871558 278.169638 36.435924 147.525883 -218.909379 2901.076157 -7.733 -7.733 2.744544 0.000000 1.798 n/a n/a
35 7000.00 1298.00 100.000000 1.0000000000000000 1.000000 -1142496.829817 277.594139 36.025406 147.502623 -192.041816 2858.092612 -7.553 -7.553 2.775819 0.000000 1.798 n/a n/a
36 1000.00 1295.00 100.000000 1.0000000000000000 1.000000 -1162177.256366 279.076876 37.421992 147.588155 -280.294730 3061.858572 -8.139 -8.139 2.672225 0.000000 1.810 n/a n/a
36 7000.00 1295.00 100.000000 1.0000000000000000 1.000000 -1142939.335707 277.312225 36.016832 147.501304 -191.996172 2857.895034 -7.584 -7.584 2.776480 0.000000 1.810 n/a n/a
37 5000.00 1292.00 100.000000 1.0000000000000000 1.000000 -1149723.020520 277.605183 36.418519 147.523772 -218.742999 2900.574228 -7.796 -7.796 2.745856 0.000000 1.821 n/a n/a
37 7000.00 1292.00 100.000000 1.0000000000000000 1.000000 -1143381.837643 277.029774 36.008259 147.499987 -191.950605 2857.694513 -7.616 -7.616 2.777141 0.000000 1.821 n/a n/a
38 5000.00 1289.00 100.000000 1.0000000000000000 1.000000 -1150165.590259 277.322147 36.409817 147.522721 -218.659927 2900.318849 -7.828 -7.828 2.746512 0.000000 1.833 n/a n/a
38 7000.00 1289.00 100.000000 1.0000000000000000 1.000000 -1143824.335635 276.746783 35.999686 147.498675 -191.905117 2857.491050 -7.647 -7.647 2.777802 0.000000 1.833 n/a n/a
39 3000.00 1286.00 100.000000 1.0000000000000000 1.000000 -1157019.756090 277.624946 36.867157 147.551373 -247.897031 2967.892626 -8.045 -8.045 2.712441 0.000000 1.845 n/a n/a
39 1000.00 1286.00 100.000000 1.0000000000000000 1.000000 -1163505.542184 278.227396 37.394440 147.586472 -279.820005 3060.780942 -8.235 -8.235 2.674194 0.000000 1.845 n/a n/a
40 3000.00 1283.00 100.000000 1.0000000000000000 1.000000 -1157462.409012 277.340766 36.858254 147.550575 -247.776530 2967.579446 -8.078 -8.078 2.713097 0.000000 1.856 n/a n/a
40 1000.00 1283.00 100.000000 1.0000000000000000 1.000000 -1163948.300758 277.943148 37.385258 147.585911 -279.661920 3060.415846 -8.268 -8.268 2.674851 0.000000 1.856 n/a n/a
41 3000.00 1280.00 100.000000 1.0000000000000000 1.000000 -1157905.059539 277.056039 36.849352 147.549777 -247.656106 2967.263322 -8.110 -8.110 2.713752 0.000000 1.868 n/a n/a
41 5000.00 1280.00 100.000000 1.0000000000000000 1.000000 -1151493.280597 276.469777 36.383718 147.519580 -218.411175 2899.535053 -7.924 -7.924 2.748482 0.000000 1.868 n/a n/a
42 3000.00 1277.00 100.000000 1.0000000000000000 1.000000 -1158347.707677 276.770763 36.840450 147.548981 -247.535761 2966.944256 -8.142 -8.142 2.714408 0.000000 1.880 n/a n/a
42 5000.00 1277.00 100.000000 1.0000000000000000 1.000000 -1151935.837774 276.184560 36.375020 147.518538 -218.328414 2899.267902 -7.956 -7.956 2.749139 0.000000 1.880 n/a n/a
43 3000.00 1274.00 100.000000 1.0000000000000000 1.000000 -1158790.353428 276.484936 36.831550 147.548186 -247.415493 2966.622246 -8.175 -8.175 2.715064 0.000000 1.891 n/a n/a
43 7000.00 1274.00 100.000000 1.0000000000000000 1.000000 -1146036.766827 275.323667 35.956832 147.492166 -191.678843 2856.429586 -7.807 -7.807 2.781113 0.000000 1.891 n/a n/a
44 3000.00 1271.00 100.000000 1.0000000000000000 1.000000 -1159232.996796 276.198556 36.822651 147.547393 -247.295303 2966.297294 -8.208 -8.208 2.715720 0.000000 1.903 n/a n/a
44 7000.00 1271.00 100.000000 1.0000000000000000 1.000000 -1146479.241388 275.037396 35.948263 147.490875 -191.633821 2856.208465 -7.839 -7.839 2.781776 0.000000 1.903 n/a n/a
44 5000.00 1271.00 100.000000 1.0000000000000000 1.000000 -1152820.942769 275.612472 36.357626 147.516462 -218.163125 2898.724771 -8.021 -8.021 2.750455 0.000000 1.903 n/a n/a
45 1000.00 1268.00 100.000000 1.0000000000000000 1.000000 -1166162.068392 276.513655 37.339366 147.583107 -278.872659 3058.546222 -8.432 -8.432 2.678139 0.000000 1.915 n/a n/a
46 3000.00 1265.00 100.000000 1.0000000000000000 1.000000 -1160118.276399 275.624127 36.804855 147.545809 -247.055157 2965.638560 -8.274 -8.274 2.717033 0.000000 1.927 n/a n/a
46 1000.00 1265.00 100.000000 1.0000000000000000 1.000000 -1166604.816874 276.226090 37.330191 147.582547 -278.715041 3058.163468 -8.465 -8.465 2.678797 0.000000 1.927 n/a n/a
46 5000.00 1265.00 100.000000 1.0000000000000000 1.000000 -1153706.035333 275.038164 36.340235 147.514395 -217.998148 2898.169868 -8.087 -8.087 2.751771 0.000000 1.927 n/a n/a
47 1000.00 1262.00 100.000000 1.0000000000000000 1.000000 -1167047.563675 275.937965 37.321017 147.581987 -278.557500 3057.777771 -8.499 -8.499 2.679455 0.000000 1.939 n/a n/a
48 3000.00 1259.00 100.000000 1.0000000000000000 1.000000 -1161003.546515 275.047460 36.787063 147.544231 -246.815322 2964.968054 -8.341 -8.341 2.718347 0.000000 1.951 n/a n/a
48 1000.00 1259.00 100.000000 1.0000000000000000 1.000000 -1167490.308794 275.649278 37.311844 147.581426 -278.400037 3057.389131 -8.533 -8.533 2.680114 0.000000 1.951 n/a n/a
46 7000.00 1265.00 100.000000 0.9905572040701222 0.991898 -1147774.888960 274.196336 35.888683 147.139047 -190.606123 2846.793449 -7.906 -7.906 2.782628 3.247391 1.933 n/a n/a
49 3000.00 1256.00 100.000000 1.0000000000000000 1.000000 -1161446.178025 274.758281 36.778168 147.543443 -246.695522 2964.628386 -8.374 -8.374 2.719004 0.000000 1.963 n/a n/a
