System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
28 3000.00 1319.00 100.000000 1.0000000000000000 1.000000 -1149306.364864 321.313307 42.390191 154.778525 -298.092252 5703.568189 -7.644 -7.644 2.359036 0.000000 0.531 n/a n/a
29 3000.00 1316.00 100.000000 1.0000000000000000 1.000000 -1149770.692912 321.021396 42.373080 154.773507 -298.114437 5703.568189 -7.674 -7.674 2.359989 0.000000 0.539 n/a n/a
30 3000.00 1313.00 100.000000 1.0000000000000000 1.000000 -1150235.005899 320.728943 42.355970 154.768484 -298.136621 5703.568189 -7.705 -7.705 2.360942 0.000000 0.547 n/a n/a
31 3000.00 1310.00 100.000000 1.0000000000000000 1.000000 -1150699.303808 320.435945 42.338859 154.763455 -298.158806 5703.568189 -7.736 -7.736 2.361896 0.000000 0.556 n/a n/a
32 3000.00 1307.00 100.000000 1.0000000000000000 1.000000 -1151163.586621 320.142402 42.321748 154.758420 -298.180990 5703.568189 -7.767 -7.767 2.362851 0.000000 0.564 n/a n/a
33 3000.00 1304.00 100.000000 1.0000000000000000 1.000000 -1151627.854323 319.848310 42.304637 154.753380 -298.203175 5703.568189 -7.798 -7.798 2.363807 0.000000 0.572 n/a n/a
34 3000.00 1301.00 100.000000 1.0000000000000000 1.000000 -1152092.106897 319.553668 42.287527 154.748334 -298.225360 5703.568189 -7.829 -7.829 2.364764 0.000000 0.581 n/a n/a
35 3000.00 1298.00 100.000000 1.0000000000000000 1.000000 -1152556.344325 319.258474 42.270416 154.743283 -298.247544 5703.568189 -7.861 -7.861 2.365721 0.000000 0.589 n/a n/a
36 3000.00 1295.00 100.000000 1.0000000000000000 1.000000 -1153020.566590 318.962725 42.253305 154.738226 -298.269729 5703.568189 -7.892 -7.892 2.366679 0.000000 0.597 n/a n/a
37 3000.00 1292.00 100.000000 1.0000000000000000 1.000000 -1153484.773675 318.666419 42.236195 154.733163 -298.291913 5703.568189 -7.924 -7.924 2.367638 0.000000 0.606 n/a n/a
38 3000.00 1289.00 100.000000 1.0000000000000000 1.000000 -1153948.965564 318.369555 42.219084 154.728095 -298.314098 5703.568189 -7.956 -7.956 2.368597 0.000000 0.614 n/a n/a
39 3000.00 1286.00 100.000000 1.0000000000000000 1.000000 -1154413.142239 318.072130 42.201973 154.723021 -298.336282 5703.568189 -7.988 -7.988 2.369557 0.000000 0.623 n/a n/a
40 3000.00 1283.00 100.000000 1.0000000000000000 1.000000 -1154877.303682 317.774141 42.184863 154.717941 -298.358467 5703.568189 -8.020 -8.020 2.370519 0.000000 0.632 n/a n/a
41 3000.00 1280.00 100.000000 1.0000000000000000 1.000000 -1155341.449876 317.475588 42.167752 154.712855 -298.380652 5703.568189 -8.053 -8.053 2.371480 0.000000 0.640 n/a n/a
42 3000.00 1277.00 100.000000 1.0000000000000000 1.000000 -1155805.580805 317.176467 42.150641 154.707763 -298.402836 5703.568189 -8.085 -8.085 2.372443 0.000000 0.649 n/a n/a
43 3000.00 1274.00 100.000000 1.0000000000000000 1.000000 -1156269.696450 316.876776 42.133530 154.702666 -298.425021 5703.568189 -8.118 -8.118 2.373407 0.000000 0.657 n/a n/a
44 3000.00 1271.00 100.000000 1.0000000000000000 1.000000 -1156733.796794 316.576514 42.116420 154.697563 -298.447205 5703.568189 -8.151 -8.151 2.374371 0.000000 0.666 n/a n/a
45 3000.00 1268.00 100.000000 1.0000000000000000 1.000000 -1157197.881819 316.275677 42.099309 154.692453 -298.469390 5703.568189 -8.184 -8.184 2.375336 0.000000 0.675 n/a n/a
46 3000.00 1265.00 100.000000 1.0000000000000000 1.000000 -1157661.951508 315.974265 42.082198 154.687338 -298.491574 5703.568189 -8.217 -8.217 2.376302 0.000000 0.684 n/a n/a
47 3000.00 1262.00 100.000000 1.0000000000000000 1.000000 -1158126.005843 315.672274 42.065088 154.682217 -298.513759 5703.568189 -8.250 -8.250 2.377268 0.000000 0.692 n/a n/a
48 3000.00 1259.00 100.000000 1.0000000000000000 1.000000 -1158590.044807 315.369702 42.047977 154.677091 -298.535944 5703.568189 -8.283 -8.283 2.378236 0.000000 0.701 n/a n/a
49 3000.00 1256.00 100.000000 1.0000000000000000 1.000000 -1159054.068382 315.066547 42.030866 154.671958 -298.558128 5703.568189 -8.317 -8.317 2.379204 0.000000 0.710 n/a n/a
50 3000.00 1253.00 100.000000 1.0000000000000000 1.000000 -1159518.076549 314.762807 42.013756 154.666819 -298.580313 5703.568189 -8.351 -8.351 2.380173 0.000000 0.719 n/a n/a
51 3000.00 1250.00 100.000000 1.0000000000000000 1.000000 -1159982.069291 314.458480 41.996645 154.661675 -298.602497 5703.568189 -8.385 -8.385 2.381143 0.000000 0.728 n/a n/a
52 3000.00 1247.00 100.000000 1.0000000000000000 1.000000 -1160446.046591 314.153563 41.979534 154.656524 -298.624682 5703.568189 -8.419 -8.419 2.382113 0.000000 0.737 n/a n/a
53 3000.00 1244.00 100.000000 1.0000000000000000 1.000000 -1160910.008430 313.848053 41.962423 154.651368 -298.646866 5703.568189 -8.453 -8.453 2.383084 0.000000 0.746 n/a n/a
54 3000.00 1241.00 100.000000 1.0000000000000000 1.000000 -1161373.954790 313.541949 41.945313 154.646205 -298.669051 5703.568189 -8.487 -8.487 2.384057 0.000000 0.755 n/a n/a
55 3000.00 1238.00 100.000000 1.0000000000000000 1.000000 -1161837.885654 313.235248 41.928202 154.641036 -298.691236 5703.568189 -8.522 -8.522 2.385030 0.000000 0.764 n/a n/a
56 3000.00 1235.00 100.000000 1.0000000000000000 1.000000 -1162301.801003 312.927948 41.911091 154.635862 -298.713420 5703.568189 -8.557 -8.557 2.386003 0.000000 0.773 n/a n/a
57 3000.00 1232.00 100.000000 1.0000000000000000 1.000000 -1162765.700820 312.620047 41.893981 154.630681 -298.735605 5703.568189 -8.592 -8.592 2.386978 0.000000 0.782 n/a n/a
58 3000.00 1229.00 100.000000 1.0000000000000000 1.000000 -1163229.585086 312.311541 41.876870 154.625495 -298.757789 5703.568189 -8.627 -8.627 2.387953 0.000000 0.791 n/a n/a
59 3000.00 1226.00 100.000000 1.0000000000000000 1.000000 -1163693.453783 312.002429 41.859759 154.620302 -298.779974 5703.568189 -8.662 -8.662 2.388929 0.000000 0.801 n/a n/a
60 3000.00 1223.00 100.000000 1.0000000000000000 1.000000 -1164157.306893 311.692708 41.842648 154.615103 -298.802158 5703.568189 -8.697 -8.697 2.389906 0.000000 0.810 n/a n/a
61 3000.00 1220.00 100.000000 1.0000000000000000 1.000000 -1164621.144398 311.382376 41.825538 154.609899 -298.824343 5703.568189 -8.733 -8.733 2.390884 0.000000 0.819 n/a n/a
62 3000.00 1217.00 100.000000 1.0000000000000000 1.000000 -1165084.966279 311.071431 41.808427 154.604688 -298.846528 5703.568189 -8.769 -8.769 2.391862 0.000000 0.829 n/a n/a
63 3000.00 1214.00 100.000000 1.0000000000000000 1.000000 -1165548.772519 310.759869 41.791316 154.599471 -298.868712 5703.568189 -8.805 -8.805 2.392842 0.000000 0.838 n/a n/a
64 3000.00 1211.00 100.000000 1.0000000000000000 1.000000 -1166012.563100 310.447689 41.774206 154.594248 -298.890897 5703.568189 -8.841 -8.841 2.393822 0.000000 0.847 n/a n/a
65 3000.00 1208.00 100.000000 1.0000000000000000 1.000000 -1166476.338002 310.134887 41.757095 154.589019 -298.913081 5703.568189 -8.877 -8.877 2.394803 0.000000 0.857 n/a n/a
66 3000.00 1205.00 100.000000 1.0000000000000000 1.000000 -1166934.093302 309.825521 41.739984 151.337742 -298.935266 5703.568189 -8.914 -8.914 2.395784 0.000000 0.866 n/a n/a
67 3000.00 1202.00 100.000000 1.0000000000000000 1.000000 -1167388.095285 309.518067 41.722874 151.330238 -298.957450 5703.568189 -8.950 -8.950 2.396767 0.000000 0.876 n/a n/a
68 3000.00 1199.00 100.000000 1.0000000000000000 1.000000 -1167842.074679 309.210003 41.705763 151.322683 -298.979635 5703.568189 -8.987 -8.987 2.397750 0.000000 0.885 n/a n/a
69 3000.00 1196.00 100.000000 1.0000000000000000 1.000000 -1168296.031328 308.901325 41.688652 151.315075 -299.001820 5703.568189 -9.024 -9.024 2.398734 0.000000 0.895 n/a n/a
70 3000.00 1193.00 100.000000 1.0000000000000000 1.000000 -1168749.965075 308.592032 41.671541 151.307414 -299.024004 5703.568189 -9.061 -9.061 2.399719 0.000000 0.905 n/a n/a
71 3000.00 1190.00 100.000000 1.0000000000000000 1.000000 -1169203.875761 308.282121 41.654431 151.299701 -299.046189 5703.568189 -9.099 -9.099 2.400705 0.000000 0.914 n/a n/a
72 3000.00 1187.00 100.000000 1.0000000000000000 1.000000 -1169657.763226 307.971590 41.637320 151.291934 -299.068373 5703.568189 -9.136 -9.136 2.401692 0.000000 0.924 n/a n/a
73 3000.00 1184.00 100.000000 1.0000000000000000 1.000000 -1170111.627312 307.660437 41.620209 151.284114 -299.090558 5703.568189 -9.174 -9.174 2.402679 0.000000 0.934 n/a n/a
74 3000.00 1181.00 100.000000 1.0000000000000000 1.000000 -1170565.467857 307.348658 41.603099 151.276241 -299.112742 5703.568189 -9.212 -9.212 2.403667 0.000000 0.944 n/a n/a
75 3000.00 1178.00 100.000000 1.0000000000000000 1.000000 -1171019.284701 307.036252 41.585988 151.268313 -299.134927 5703.568189 -9.250 -9.250 2.404656 0.000000 0.953 n/a n/a
76 3000.00 1175.00 100.000000 1.0000000000000000 1.000000 -1171473.077682 306.723215 41.568877 151.260332 -299.157112 5703.568189 -9.288 -9.288 2.405646 0.000000 0.963 n/a n/a
77 3000.00 1172.00 100.000000 1.0000000000000000 1.000000 -1171926.846637 306.409546 41.551766 151.252296 -299.179296 5703.568189 -9.327 -9.327 2.406637 0.000000 0.973 n/a n/a
78 3000.00 1169.00 100.000000 1.0000000000000000 1.000000 -1172380.591402 306.095242 41.534656 151.244205 -299.201481 5703.568189 -9.366 -9.366 2.407628 0.000000 0.983 n/a n/a
79 3000.00 1166.00 100.000000 1.0000000000000000 1.000000 -1172834.311814 305.780301 41.517545 151.236060 -299.223665 5703.568189 -9.405 -9.405 2.408620 0.000000 0.993 n/a n/a
80 3000.00 1163.00 100.000000 1.0000000000000000 1.000000 -1173288.007708 305.464719 41.500434 151.227860 -299.245850 5703.568189 -9.444 -9.444 2.409613 0.000000 1.003 n/a n/a
81 3000.00 1160.00 100.000000 1.0000000000000000 1.000000 -1173741.678918 305.148495 41.483324 151.219604 -299.268034 5703.568189 -9.483 -9.483 2.410607 0.000000 1.013 n/a n/a
82 3000.00 1157.00 100.000000 1.0000000000000000 1.000000 -1174195.325279 304.831625 41.466213 151.211293 -299.290219 5703.568189 -9.522 -9.522 2.411602 0.000000 1.024 n/a n/a
83 3000.00 1154.00 100.000000 1.0000000000000000 1.000000 -1174648.946622 304.514107 41.449102 151.202926 -299.312404 5703.568189 -9.562 -9.562 2.412597 0.000000 1.034 n/a n/a
84 3000.00 1151.00 100.000000 1.0000000000000000 1.000000 -1175102.542781 304.195939 41.431992 151.194503 -299.334588 5703.568189 -9.602 -9.602 2.413594 0.000000 1.044 n/a n/a
85 3000.00 1148.00 100.000000 1.0000000000000000 1.000000 -1175556.113587 303.877118 41.414881 151.186024 -299.356773 5703.568189 -9.642 -9.642 2.414591 0.000000 1.054 n/a n/a
86 3000.00 1145.00 100.000000 1.0000000000000000 1.000000 -1176009.658870 303.557641 41.397770 151.177488 -299.378957 5703.568189 -9.682 -9.682 2.415589 0.000000 1.065 n/a n/a
87 3000.00 1142.00 100.000000 1.0000000000000000 1.000000 -1176463.178460 303.237506 41.380659 151.168896 -299.401142 5703.568189 -9.723 -9.723 2.416588 0.000000 1.075 n/a n/a
88 3000.00 1139.00 100.000000 1.0000000000000000 1.000000 -1176916.672187 302.916709 41.363549 151.160246 -299.423326 5703.568189 -9.764 -9.764 2.417588 0.000000 1.085 n/a n/a
89 3000.00 1136.00 100.000000 1.0000000000000000 1.000000 -1177370.139880 302.595249 41.346438 151.151539 -299.445511 5703.568189 -9.804 -9.804 2.418588 0.000000 1.096 n/a n/a
90 3000.00 1133.00 100.000000 1.0000000000000000 1.000000 -1177823.581365 302.273122 41.329327 151.142775 -299.467696 5703.568189 -9.846 -9.846 2.419589 0.000000 1.106 n/a n/a
91 3000.00 1130.00 100.000000 1.0000000000000000 1.000000 -1178276.996470 301.950326 41.312217 151.133952 -299.489880 5703.568189 -9.887 -9.887 2.420591 0.000000 1.117 n/a n/a
92 3000.00 1127.00 100.000000 1.0000000000000000 1.000000 -1178730.385020 301.626859 41.295106 151.125072 -299.512065 5703.568189 -9.928 -9.928 2.421594 0.000000 1.127 n/a n/a
93 3000.00 1124.00 100.000000 1.0000000000000000 1.000000 -1179183.746842 301.302716 41.277995 151.116133 -299.534249 5703.568189 -9.970 -9.970 2.422598 0.000000 1.138 n/a n/a
94 3000.00 1121.00 100.000000 1.0000000000000000 1.000000 -1179637.081760 300.977896 41.260885 151.107136 -299.556434 5703.568189 -10.012 -10.012 2.423603 0.000000 1.149 n/a n/a
